sample_index,sample_id,source_cube,label,max_absolute_difference,mean_absolute_difference,rmse,absolute_tolerance,within_tolerance
497,3-1/18,3-1,3,1.3436301238289872e-07,2.613872292109808e-08,3.358635440456846e-08,1e-05,1
498,3-1/19,3-1,3,1.2898054246868185e-07,2.6944272344749196e-08,3.4845071702421955e-08,1e-05,1
499,3-1/20,3-1,3,9.820574842223095e-08,2.5181007474750947e-08,3.1559771912199205e-08,1e-05,1
500,3-1/21,3-1,3,1.1980533609623478e-07,2.7287561363417757e-08,3.4554790926533984e-08,1e-05,1
501,3-1/22,3-1,3,9.405356582448121e-08,2.4606985264459166e-08,3.079179958537536e-08,1e-05,1
502,3-1/23,3-1,3,1.3947123445046117e-07,3.3743175168562104e-08,4.3329095931007586e-08,1e-05,1
503,3-1/24,3-1,3,9.930271915870037e-08,2.662594807870972e-08,3.334125000934267e-08,1e-05,1
504,3-1/25,3-1,3,1.4360937783397532e-07,3.148328524469969e-08,4.104481112382221e-08,1e-05,1
505,3-1/26,3-1,3,1.4950421234338762e-07,3.0826635820096924e-08,3.975181332164627e-08,1e-05,1
506,3-1/27,3-1,3,8.940696677450788e-08,2.5274869812012967e-08,3.147176800875616e-08,1e-05,1
507,3-1/28,3-1,3,1.51336615461517e-07,3.2219663212655994e-08,4.1477678260972174e-08,1e-05,1
508,3-1/29,3-1,3,1.0818243034727004e-07,2.7654198365921735e-08,3.492424086813559e-08,1e-05,1
509,3-1/30,3-1,3,1.0835959629584835e-07,2.8244132901525783e-08,3.585504053226698e-08,1e-05,1
510,3-1/31,3-1,3,1.0366025160468695e-07,2.4210163268986333e-08,3.1764534128735704e-08,1e-05,1
511,3-1/32,3-1,3,1.5463008251614951e-07,2.915345008996588e-08,3.755599760503444e-08,1e-05,1
512,3-1/33,3-1,3,1.1637806907049963e-07,2.362613322527203e-08,2.9685421937329405e-08,1e-05,1
513,3-1/34,3-1,3,1.130998130705052e-07,2.6845658309160982e-08,3.392500573301563e-08,1e-05,1
514,3-1/35,3-1,3,1.3632012862974108e-07,3.138210910268877e-08,4.112373614441472e-08,1e-05,1
515,3-1/36,3-1,3,1.8241421451126172e-07,3.414334946461493e-08,4.399326770058321e-08,1e-05,1
516,3-1/37,3-1,3,8.885761526578051e-08,2.5768021819338563e-08,3.173228693432864e-08,1e-05,1
517,3-1/38,3-1,3,1.6077858011609436e-07,3.1599040639056815e-08,4.147441690903073e-08,1e-05,1
518,3-1/39,3-1,3,1.215548430799629e-07,2.3382144978432116e-08,3.098453712993305e-08,1e-05,1
519,3-1/40,3-1,3,1.0924944615631205e-07,2.316872945111827e-08,2.9702742556744812e-08,1e-05,1
520,3-1/41,3-1,3,9.672370526736529e-08,2.4919337684606698e-08,3.195732258704975e-08,1e-05,1
521,3-1/42,3-1,3,1.2021798345696055e-07,2.977822790250144e-08,3.9260738545973747e-08,1e-05,1
522,3-1/43,3-1,3,1.0083376389413701e-07,2.4639425349232928e-08,3.105416580755034e-08,1e-05,1
523,3-1/44,3-1,3,9.67326776457611e-08,2.6292369236723153e-08,3.3484400553997015e-08,1e-05,1
524,3-1/45,3-1,3,1.0096029068318302e-07,2.2969999972525087e-08,2.9426898087020952e-08,1e-05,1
525,3-1/46,3-1,3,1.0812005291072069e-07,2.4518050258274316e-08,3.21774644608523e-08,1e-05,1
526,3-1/47,3-1,3,1.2932467674531267e-07,3.145117813733575e-08,3.9817598914288505e-08,1e-05,1
527,3-1/48,3-1,3,1.2831916973432556e-07,2.9715672278980102e-08,3.781553659334244e-08,1e-05,1
528,3-1/49,3-1,3,1.1034128166720336e-07,2.4080877288680495e-08,3.097476206007305e-08,1e-05,1
529,3-1/50,3-1,3,1.4020100436162863e-07,2.7866969528713523e-08,3.629119242477774e-08,1e-05,1
530,3-1/51,3-1,3,1.1743299266342433e-07,2.5780479029205382e-08,3.2757921518939446e-08,1e-05,1
531,3-1/52,3-1,3,1.4226391631400048e-07,3.0156275194385426e-08,3.882658200026923e-08,1e-05,1
532,3-1/53,3-1,3,1.2009626348952196e-07,2.5443479309550376e-08,3.308413422734909e-08,1e-05,1
533,3-1/54,3-1,3,1.0883755630075598e-07,2.8316627187326903e-08,3.6448852816782976e-08,1e-05,1
534,3-1/55,3-1,3,1.2784588077074943e-07,2.976632626763672e-08,3.8328003960412035e-08,1e-05,1
535,3-1/56,3-1,3,1.1738465710564583e-07,3.005693302341642e-08,3.776784984714554e-08,1e-05,1
536,3-1/57,3-1,3,1.1245848757779342e-07,2.3327903130882295e-08,3.0409645849076495e-08,1e-05,1
537,3-1/58,3-1,3,1.5598150948648026e-07,3.067616538409916e-08,4.002438803876644e-08,1e-05,1
538,3-1/59,3-1,3,1.3732442638580977e-07,3.129497274800943e-08,3.969865646374104e-08,1e-05,1
539,3-1/60,3-1,3,9.978971204915865e-08,2.2983618729865758e-08,2.996042082026394e-08,1e-05,1
540,3-1/61,3-1,3,1.2401611593215733e-07,2.8262635870665632e-08,3.71647670598539e-08,1e-05,1
541,3-1/62,3-1,3,1.389729344936086e-07,2.5354981985852153e-08,3.3043618589805345e-08,1e-05,1
542,3-1/63,3-1,3,1.296164496844554e-07,3.0292571555912366e-08,3.883463052066948e-08,1e-05,1
543,3-1/64,3-1,3,1.1933557109156112e-07,2.6683873644697537e-08,3.43497281826468e-08,1e-05,1
544,3-1/65,3-1,3,1.561587756881977e-07,2.8860765509595787e-08,3.760540361451753e-08,1e-05,1
545,3-1/66,3-1,3,1.2600631060788459e-07,2.9111749871290944e-08,3.664334221144295e-08,1e-05,1
546,3-1/67,3-1,3,1.113426868482037e-07,2.3719636918014073e-08,3.1166748537499033e-08,1e-05,1
547,3-1/68,3-1,3,1.301406430398444e-07,3.12005904627172e-08,4.0034014995974404e-08,1e-05,1
548,3-1/69,3-1,3,1.1316546177919662e-07,2.697951251734896e-08,3.433803882893609e-08,1e-05,1
549,3-1/70,3-1,3,1.1098165442202657e-07,2.753202682702151e-08,3.5778532913672624e-08,1e-05,1
550,3-1/71,3-1,3,1.3160233425235646e-07,3.1694575168607097e-08,4.0722727755794114e-08,1e-05,1
