model_id,role,view,classifier,n,accuracy,balanced_accuracy,macro_f1,negative_log_likelihood,multiclass_brier_score,expected_calibration_error,equal_constructed_batch_accuracy,fold_balanced_accuracy_min,fold_balanced_accuracy_max,fold_balanced_accuracy_mean,fold_balanced_accuracy_sd,errors,same_oof_selected,late_spectral_weight,late_mat_weight
late_w0.75__foreground_std__extra_trees,same_oof_late_fusion_exploratory_only,foreground_std,spectral_ensemble_plus_extra_trees,1012,0.9792490118577075,0.9794836771514162,0.9794661304267969,0.2782533824826289,0.09383413813139972,0.19496274973280112,0.9792447819022623,0.9613970588235294,0.9910714285714286,0.9795250131302522,0.011419569232865114,21,0,0.75,0.25
late_w0.25__foreground_iqr__shrinkage_lda,same_oof_late_fusion_exploratory_only,foreground_iqr,spectral_ensemble_plus_shrinkage_lda,1012,0.8073122529644269,0.8096086090686274,0.809072560720713,0.8576483879743287,0.4392402838730179,0.32310865105253644,0.8073522059742532,0.758797268907563,0.8410633484162896,0.8096372262847447,0.026454984243700044,195,0,0.25,0.75
late_w0.50__foreground_iqr__shrinkage_lda,same_oof_late_fusion_exploratory_only,foreground_iqr,spectral_ensemble_plus_shrinkage_lda,1012,0.9703557312252964,0.9708095043572985,0.9707906382343389,0.5222160805106755,0.22772025424318576,0.3505771028665832,0.9703708911386077,0.9609375,0.984375,0.9708508403361344,0.007838111662545926,30,0,0.5,0.5
late_w0.75__foreground_iqr__shrinkage_lda,same_oof_late_fusion_exploratory_only,foreground_iqr,spectral_ensemble_plus_shrinkage_lda,1012,0.9792490118577075,0.9795411220043573,0.9795181308284195,0.2862833949569357,0.0955699892611891,0.20099259672987213,0.9792525934258218,0.9618566176470589,0.9910714285714286,0.9795824579831933,0.009705734565428736,21,0,0.75,0.25
late_w0.25__foreground_iqr__logistic_regression,same_oof_late_fusion_exploratory_only,foreground_iqr,spectral_ensemble_plus_logistic_regression,1012,0.7974308300395256,0.7996536288126361,0.7985229541400363,0.865521824766916,0.44219136843061624,0.31743773953623344,0.7974550056242969,0.7735031512605042,0.8451286764705882,0.7997649179864252,0.022917669691302857,205,0,0.25,0.75
late_w0.50__foreground_iqr__logistic_regression,same_oof_late_fusion_exploratory_only,foreground_iqr,spectral_ensemble_plus_logistic_regression,1012,0.9723320158102767,0.9727051845043573,0.9726895670372526,0.5256057850911002,0.2290555211448874,0.3551522276877657,0.9723393950756156,0.9609375,0.9910714285714286,0.9727465204831933,0.010587194502775026,28,0,0.5,0.5
late_w0.75__foreground_iqr__logistic_regression,same_oof_late_fusion_exploratory_only,foreground_iqr,spectral_ensemble_plus_logistic_regression,1012,0.9782608695652174,0.9785645595043573,0.9784588141147879,0.28735899358820144,0.09592156131035792,0.20129672200900275,0.9782605299337583,0.9618566176470589,0.9910714285714286,0.9786058954831933,0.009546362634817306,22,0,0.75,0.25
late_w0.25__foreground_iqr__rbf_svm,same_oof_late_fusion_exploratory_only,foreground_iqr,spectral_ensemble_plus_rbf_svm,1012,0.9604743083003953,0.961216213916122,0.9609963831851006,0.9339383020356767,0.45308192645942796,0.5483358503201408,0.9604502562179728,0.9384191176470589,0.9832589285714286,0.961257549894958,0.016618994499429243,40,0,0.25,0.75
late_w0.50__foreground_iqr__rbf_svm,same_oof_late_fusion_exploratory_only,foreground_iqr,spectral_ensemble_plus_rbf_svm,1012,0.9812252964426877,0.9814368021514162,0.9814158115030696,0.5651881528623857,0.2344444464852418,0.3945750517039634,0.9812210973628297,0.9613970588235294,0.9921875,0.9814781381302522,0.010669920493890862,19,0,0.5,0.5
late_w0.75__foreground_iqr__rbf_svm,same_oof_late_fusion_exploratory_only,foreground_iqr,spectral_ensemble_plus_rbf_svm,1012,0.9822134387351779,0.9824133646514162,0.9823958626309626,0.30474748076523317,0.09768030064110844,0.22111728109403272,0.9822053493313336,0.9692095588235294,0.9921875,0.9824547006302522,0.008755156203003003,18,0,0.75,0.25
