model_id,role,view,classifier,held_out_batch,n,accuracy,balanced_accuracy,macro_f1,negative_log_likelihood,multiclass_brier_score,expected_calibration_error,errors
late_w0.75__radial_inner_minus_outer__rbf_svm,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_rbf_svm,3,127,0.9921259842519685,0.9921875,0.9923963133640553,0.2816436462103735,0.09050676486881258,0.2202427819708113,1
late_w0.75__radial_inner_minus_outer__rbf_svm,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_rbf_svm,4,126,0.9841269841269841,0.984375,0.9847222222222223,0.2761126424449381,0.08971383952347721,0.20370399417111273,2
late_w0.75__radial_inner_minus_outer__rbf_svm,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_rbf_svm,5,126,0.9841269841269841,0.984375,0.9840909090909091,0.28211224635702714,0.09181162923299764,0.20935534018638408,2
late_w0.75__radial_inner_minus_outer__rbf_svm,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_rbf_svm,6,126,0.9682539682539683,0.9692095588235294,0.9676262917190337,0.3168795862578492,0.10436965452368621,0.18832774543251407,4
late_w0.75__radial_inner_minus_outer__rbf_svm,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_rbf_svm,7,126,0.9841269841269841,0.984375,0.9845761765116604,0.2772744789740557,0.086262900149595,0.22194658543529844,2
late_w0.25__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,0,127,0.7401574803149606,0.7433692226890757,0.7356598822324628,0.8707825092544172,0.4560904005185037,0.2568945713322937,33
late_w0.25__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,1,127,0.7401574803149606,0.7379858193277311,0.7369465528146742,0.9009729561152726,0.4757564870304146,0.2756623172812927,33
late_w0.25__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,2,127,0.7795275590551181,0.7813156512605042,0.7772646917962587,0.898347348125305,0.47167675185335434,0.3218047659530077,28
late_w0.25__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,3,127,0.7480314960629921,0.7475709033613445,0.7455493475687482,0.8845671935130408,0.4626076530230326,0.2850815368670587,32
late_w0.25__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,4,126,0.7142857142857143,0.716522907239819,0.7096764979551409,0.8753394879955098,0.46439946644985275,0.24046411978644286,36
late_w0.25__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,5,126,0.7698412698412699,0.771210407239819,0.768996613902412,0.8739635002529631,0.4521118120613767,0.2980478955774107,29
late_w0.25__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,6,126,0.7619047619047619,0.7647412330316742,0.7601137674483058,0.8852128005507648,0.44986455759248184,0.2786521274753007,30
late_w0.25__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,7,126,0.7619047619047619,0.7629736990950227,0.760078085815839,0.8760555447352358,0.4537866402102025,0.2809373663611967,30
late_w0.50__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,0,127,0.952755905511811,0.9535845588235294,0.9518156296799234,0.5230558769771291,0.23459082317977664,0.34980604602241683,6
late_w0.50__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,1,127,0.9763779527559056,0.9754464285714286,0.976158668094152,0.5336382355375542,0.23985163326554515,0.37908247129283257,3
late_w0.50__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,2,127,0.9448818897637795,0.9462316176470589,0.9454849875282301,0.5588627594605846,0.2536807534021982,0.3501713451661686,7
late_w0.50__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,3,127,0.9921259842519685,0.9921875,0.9923963133640553,0.5322725574492877,0.23613746409423764,0.38576618919945815,1
late_w0.50__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,4,126,0.9761904761904762,0.9765625,0.9760603345280765,0.5201294086539681,0.2342402438520879,0.36563186655438296,3
late_w0.50__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,5,126,0.9761904761904762,0.9770220588235294,0.9756734006734007,0.5266777274606851,0.23212958089321373,0.36219407684172283,3
late_w0.50__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,6,126,0.9682539682539683,0.9692095588235294,0.9676262917190337,0.5542849520804844,0.23759091420719336,0.3441780269358627,4
late_w0.50__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,7,126,0.9841269841269841,0.984375,0.9845838133640553,0.5220076525498555,0.2301742747458741,0.3745005613992562,2
late_w0.75__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,0,127,0.984251968503937,0.9848345588235294,0.9848345588235294,0.2807805895876284,0.0956181816153857,0.20914462862873423,2
late_w0.75__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,1,127,0.984251968503937,0.9832589285714286,0.9839788049465469,0.2776902161887636,0.0899624244076039,0.2225944318411228,2
late_w0.75__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,2,127,0.9606299212598425,0.9613970588235294,0.9613894219711345,0.3231148940228748,0.11886578353013232,0.19429475846249358,5
late_w0.75__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,3,127,0.9921259842519685,0.9921875,0.9923963133640553,0.2840046052400154,0.094383418898838,0.2206664988046332,1
late_w0.75__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,4,126,0.9841269841269841,0.984375,0.9847222222222223,0.2740709747965384,0.09262754982975564,0.20533826102106215,2
late_w0.75__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,5,126,0.9841269841269841,0.984375,0.9840909090909091,0.28290669478129093,0.09491325385772785,0.2077282595573799,2
