direction,model,condition,calibration,n_seeds,accuracy_mean,accuracy_sd,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_sd,macro_f1_min,macro_f1_max,nll_mean,nll_sd,nll_min,nll_max,brier_mean,brier_sd,brier_min,brier_max,ece_10_mean,ece_10_sd,ece_10_min,ece_10_max
suffix_2_to_1,fusion_net,spatial_shuffle,raw,3,0.20666666666666667,0.03712551343125797,0.1753846153846154,0.24769230769230768,0.20300925925925925,0.03755234151509678,0.1708333333333333,0.24427083333333333,0.15695710211298816,0.03609245863259091,0.12162937720499684,0.19376853516390952,2.6920103988562043,0.3251462758709355,2.3180328304218913,2.9077339084715215,0.9535694003349583,0.04868981305330578,0.8974314385794423,0.9843019939131734,0.22890935395538983,0.0219694178920218,0.20362415643193724,0.24332661104036535
suffix_2_to_1,fusion_net,spatial_shuffle,temperature_scaled,3,0.20666666666666667,0.03712551343125797,0.1753846153846154,0.24769230769230768,0.20300925925925925,0.03755234151509678,0.1708333333333333,0.24427083333333333,0.15695710211298816,0.03609245863259091,0.12162937720499684,0.19376853516390952,2.5436340023147164,0.24885546493720181,2.3690055341480436,2.8285784871402706,0.935724397555842,0.03569036564944823,0.90638784419783,0.9754591294687996,0.20426732402662542,0.03385212734921724,0.16547008015397588,0.22779473839927325
suffix_2_to_1,snv_lr,full,raw,3,0.8835897435897436,0.00927340580514112,0.8738461538461538,0.8923076923076924,0.8826388888888889,0.008900003901372482,0.8732638888888888,0.8909722222222223,0.8801988576970805,0.008999177285080512,0.8710035971786674,0.888988215500772,0.4500023425163196,0.09513021337953091,0.3561019144362677,0.5463164067143542,0.18431645882837175,0.01766822007372911,0.164112394468981,0.19687059991570588,0.04608409371454011,0.02041266291148365,0.026352495871665393,0.06711568154958122
suffix_2_to_1,snv_lr,full,temperature_scaled,3,0.8835897435897436,0.00927340580514112,0.8738461538461538,0.8923076923076924,0.8826388888888889,0.008900003901372482,0.8732638888888888,0.8909722222222223,0.8801988576970805,0.008999177285080512,0.8710035971786674,0.888988215500772,0.3938441413770286,0.031409208262900855,0.35854195978285297,0.41869629770090927,0.18215364841266413,0.015504109087629229,0.1643412359380177,0.19261416156173372,0.035582672838052325,0.011417018110244894,0.027988318138691855,0.04871219367985103
suffix_2_to_1,snv_lr,mask_only,raw,3,0.13846153846153847,0.0,0.13846153846153847,0.13846153846153847,0.125,0.0,0.125,0.125,0.03040540540540541,4.2491873609703695e-18,0.030405405405405407,0.030405405405405407,23.805187422953825,0.0,23.805187422953825,23.805187422953825,1.7230769230769232,0.0,1.7230769230769232,1.7230769230769232,0.8615384615384616,0.0,0.8615384615384616,0.8615384615384616
suffix_2_to_1,snv_lr,mask_only,temperature_scaled,3,0.13846153846153847,0.0,0.13846153846153847,0.13846153846153847,0.125,0.0,0.125,0.125,0.03040540540540541,4.2491873609703695e-18,0.030405405405405407,0.030405405405405407,23.805187422953825,0.0,23.805187422953825,23.805187422953825,1.7230769230769232,0.0,1.7230769230769232,1.7230769230769232,0.8615384615384616,0.0,0.8615384615384616,0.8615384615384616
suffix_2_to_1,snv_lr,mean_broadcast,raw,3,0.8835897435897436,0.00927340580514112,0.8738461538461538,0.8923076923076924,0.8826388888888889,0.008900003901372482,0.8732638888888888,0.8909722222222223,0.8801988576970805,0.008999177285080512,0.8710035971786674,0.888988215500772,0.4500023425163196,0.09513021337953091,0.3561019144362677,0.5463164067143542,0.18431645882837175,0.01766822007372911,0.164112394468981,0.19687059991570588,0.04608409371454011,0.02041266291148365,0.026352495871665393,0.06711568154958122
suffix_2_to_1,snv_lr,mean_broadcast,temperature_scaled,3,0.8835897435897436,0.00927340580514112,0.8738461538461538,0.8923076923076924,0.8826388888888889,0.008900003901372482,0.8732638888888888,0.8909722222222223,0.8801988576970805,0.008999177285080512,0.8710035971786674,0.888988215500772,0.3938441413770286,0.031409208262900855,0.35854195978285297,0.41869629770090927,0.18215364841266413,0.015504109087629229,0.1643412359380177,0.19261416156173372,0.035582672838052325,0.011417018110244894,0.027988318138691855,0.04871219367985103
suffix_2_to_1,snv_lr,spatial_shuffle,raw,3,0.8835897435897436,0.00927340580514112,0.8738461538461538,0.8923076923076924,0.8826388888888889,0.008900003901372482,0.8732638888888888,0.8909722222222223,0.8801988576970805,0.008999177285080512,0.8710035971786674,0.888988215500772,0.4500023425163196,0.09513021337953091,0.3561019144362677,0.5463164067143542,0.18431645882837175,0.01766822007372911,0.164112394468981,0.19687059991570588,0.04608409371454011,0.02041266291148365,0.026352495871665393,0.06711568154958122
suffix_2_to_1,snv_lr,spatial_shuffle,temperature_scaled,3,0.8835897435897436,0.00927340580514112,0.8738461538461538,0.8923076923076924,0.8826388888888889,0.008900003901372482,0.8732638888888888,0.8909722222222223,0.8801988576970805,0.008999177285080512,0.8710035971786674,0.888988215500772,0.3938441413770286,0.031409208262900855,0.35854195978285297,0.41869629770090927,0.18215364841266413,0.015504109087629229,0.1643412359380177,0.19261416156173372,0.035582672838052325,0.011417018110244894,0.027988318138691855,0.04871219367985103
