run_id,direction,train_suffix,test_suffix,model,seed,condition,n_train,n_validation,training_seconds,evaluation_seconds,parameter_count,calibration,n,n_correct,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,nll,brier,ece_10
suffix_1_to_2__snv_lr__seed_2024,suffix_1_to_2,1,2,snv_lr,2024,full,520,130,0.6531845000063186,0.2608872000055271,3144,raw,614,509,0.8289902280130294,0.8351851851851853,0.8582146454452382,0.8351851851851853,0.8232901906117867,0.9892725716801887,0.28638313886640465,0.1284226432908018
suffix_1_to_2__snv_lr__seed_2024,suffix_1_to_2,1,2,snv_lr,2024,full,520,130,0.6531845000063186,0.2608872000055271,3144,temperature_scaled,614,509,0.8289902280130294,0.8351851851851853,0.8582146454452382,0.8351851851851853,0.8232901906117867,0.6877532238802984,0.26084594875538675,0.08038775653201481
suffix_1_to_2__snv_lr__seed_2024,suffix_1_to_2,1,2,snv_lr,2024,spatial_shuffle,520,130,0.6531845000063186,0.28435719999833964,3144,raw,614,509,0.8289902280130294,0.8351851851851853,0.8582146454452382,0.8351851851851853,0.8232901906117867,0.9892725716801887,0.28638313886640465,0.1284226432908018
suffix_1_to_2__snv_lr__seed_2024,suffix_1_to_2,1,2,snv_lr,2024,spatial_shuffle,520,130,0.6531845000063186,0.28435719999833964,3144,temperature_scaled,614,509,0.8289902280130294,0.8351851851851853,0.8582146454452382,0.8351851851851853,0.8232901906117867,0.6877532238802984,0.26084594875538675,0.08038775653201481
suffix_1_to_2__snv_lr__seed_2024,suffix_1_to_2,1,2,snv_lr,2024,mask_only,520,130,0.6531845000063186,0.2810049999970943,3144,raw,614,80,0.13029315960912052,0.125,0.016286644951140065,0.125,0.02881844380403458,24.03088807150789,1.739413680781759,0.8697068403908794
suffix_1_to_2__snv_lr__seed_2024,suffix_1_to_2,1,2,snv_lr,2024,mask_only,520,130,0.6531845000063186,0.2810049999970943,3144,temperature_scaled,614,80,0.13029315960912052,0.125,0.016286644951140065,0.125,0.02881844380403458,24.03088807150789,1.739413680781759,0.8697068403908794
suffix_1_to_2__snv_lr__seed_2024,suffix_1_to_2,1,2,snv_lr,2024,mean_broadcast,520,130,0.6531845000063186,0.2782692999971914,3144,raw,614,509,0.8289902280130294,0.8351851851851853,0.8582146454452382,0.8351851851851853,0.8232901906117867,0.9892725716801887,0.28638313886640465,0.1284226432908018
suffix_1_to_2__snv_lr__seed_2024,suffix_1_to_2,1,2,snv_lr,2024,mean_broadcast,520,130,0.6531845000063186,0.2782692999971914,3144,temperature_scaled,614,509,0.8289902280130294,0.8351851851851853,0.8582146454452382,0.8351851851851853,0.8232901906117867,0.6877532238802984,0.26084594875538675,0.08038775653201481
suffix_1_to_2__spectral_only__seed_2024,suffix_1_to_2,1,2,spectral_only,2024,full,520,130,20.37219719999848,8.220713200003956,79624,raw,614,99,0.16123778501628663,0.17048611111111112,0.08261106271777004,0.17048611111111112,0.08566757759125512,2.0797893404745964,0.87508616495735,0.03431909308406911
suffix_1_to_2__spectral_only__seed_2024,suffix_1_to_2,1,2,spectral_only,2024,full,520,130,20.37219719999848,8.220713200003956,79624,temperature_scaled,614,99,0.16123778501628663,0.17048611111111112,0.08261106271777004,0.17048611111111112,0.08566757759125512,2.080340919532781,0.8752209216621719,0.03224577632055567
suffix_1_to_2__spectral_only__seed_2024,suffix_1_to_2,1,2,spectral_only,2024,spatial_shuffle,520,130,20.37219719999848,8.253388500001165,79624,raw,614,99,0.16123778501628663,0.17048611111111112,0.08261106271777004,0.17048611111111112,0.08566757759125512,2.0797893404745964,0.87508616495735,0.03431909308406911
suffix_1_to_2__spectral_only__seed_2024,suffix_1_to_2,1,2,spectral_only,2024,spatial_shuffle,520,130,20.37219719999848,8.253388500001165,79624,temperature_scaled,614,99,0.16123778501628663,0.17048611111111112,0.08261106271777004,0.17048611111111112,0.08566757759125512,2.080340919532781,0.8752209216621719,0.03224577632055567
suffix_1_to_2__spectral_only__seed_2024,suffix_1_to_2,1,2,spectral_only,2024,mask_only,520,130,20.37219719999848,8.233914999997069,79624,raw,614,80,0.13029315960912052,0.125,0.016286644951140065,0.125,0.02881844380403458,2.079573690516797,0.8750311595085982,0.0018459865000330644
suffix_1_to_2__spectral_only__seed_2024,suffix_1_to_2,1,2,spectral_only,2024,mask_only,520,130,20.37219719999848,8.233914999997069,79624,temperature_scaled,614,80,0.13029315960912052,0.125,0.016286644951140065,0.125,0.02881844380403458,2.0805732167267172,0.8752838073517936,0.00985823324376775
suffix_1_to_2__spectral_only__seed_2024,suffix_1_to_2,1,2,spectral_only,2024,mean_broadcast,520,130,20.37219719999848,8.192284400000062,79624,raw,614,99,0.16123778501628663,0.17048611111111112,0.08261106271777004,0.17048611111111112,0.08566757759125512,2.0797893404745964,0.87508616495735,0.03431909308406911
suffix_1_to_2__spectral_only__seed_2024,suffix_1_to_2,1,2,spectral_only,2024,mean_broadcast,520,130,20.37219719999848,8.192284400000062,79624,temperature_scaled,614,99,0.16123778501628663,0.17048611111111112,0.08261106271777004,0.17048611111111112,0.08566757759125512,2.080340919532781,0.8752209216621719,0.03224577632055567
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,1,2,fusion_net,2024,full,520,130,60.56214029999683,10.264079099993978,209000,raw,614,180,0.2931596091205212,0.3128472222222222,0.19641968635376342,0.3128472222222222,0.22607960284005962,1.8918036156329947,0.8161017998363949,0.036943969886908574
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,1,2,fusion_net,2024,full,520,130,60.56214029999683,10.264079099993978,209000,temperature_scaled,614,180,0.2931596091205212,0.3128472222222222,0.19641968635376342,0.3128472222222222,0.22607960284005962,1.8923362682941904,0.8161327791575907,0.03303236639795953
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,1,2,fusion_net,2024,spatial_shuffle,520,130,60.56214029999683,10.491495000002033,209000,raw,614,168,0.2736156351791531,0.29560185185185184,0.1920340599460967,0.29560185185185184,0.21108876877442495,1.9129256935260868,0.8256538888866126,0.04379259175208859
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,1,2,fusion_net,2024,spatial_shuffle,520,130,60.56214029999683,10.491495000002033,209000,temperature_scaled,614,168,0.2736156351791531,0.29560185185185184,0.1920340599460967,0.29560185185185184,0.21108876877442495,1.9136401410011632,0.8258285821197078,0.04586356942735556
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,1,2,fusion_net,2024,mask_only,520,130,60.56214029999683,10.57510000000184,209000,raw,614,170,0.2768729641693811,0.2987268518518519,0.1981934731934732,0.2987268518518519,0.21627325114921253,1.9149455087466793,0.8268877442597371,0.04217965632740819
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,1,2,fusion_net,2024,mask_only,520,130,60.56214029999683,10.57510000000184,209000,temperature_scaled,614,170,0.2768729641693811,0.2987268518518519,0.1981934731934732,0.2987268518518519,0.21627325114921253,1.9157596982426501,0.8271016678874223,0.03949475204046505
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,1,2,fusion_net,2024,mean_broadcast,520,130,60.56214029999683,10.625605700006417,209000,raw,614,170,0.2768729641693811,0.2987268518518519,0.19879892935050403,0.2987268518518519,0.216078607870118,1.9130697895428173,0.826490046114489,0.04826679534342516
suffix_1_to_2__fusion_net__seed_2024,suffix_1_to_2,1,2,fusion_net,2024,mean_broadcast,520,130,60.56214029999683,10.625605700006417,209000,temperature_scaled,614,170,0.2768729641693811,0.2987268518518519,0.19879892935050403,0.2987268518518519,0.216078607870118,1.913814599819065,0.8266897561535997,0.041404121948851395
suffix_1_to_2__snv_lr__seed_2025,suffix_1_to_2,1,2,snv_lr,2025,full,520,130,0.6526290000037989,0.27298419999715406,3144,raw,614,511,0.8322475570032574,0.8383101851851852,0.8580690530280194,0.8383101851851852,0.8236983029534173,0.6527531405942848,0.26397731946883835,0.06271887306457397
suffix_1_to_2__snv_lr__seed_2025,suffix_1_to_2,1,2,snv_lr,2025,full,520,130,0.6526290000037989,0.27298419999715406,3144,temperature_scaled,614,511,0.8322475570032574,0.8383101851851852,0.8580690530280194,0.8383101851851852,0.8236983029534173,0.6251689168609553,0.2604705286365399,0.04343748573057211
suffix_1_to_2__snv_lr__seed_2025,suffix_1_to_2,1,2,snv_lr,2025,spatial_shuffle,520,130,0.6526290000037989,0.2796904000060749,3144,raw,614,511,0.8322475570032574,0.8383101851851852,0.8580690530280194,0.8383101851851852,0.8236983029534173,0.6527531405942848,0.26397731946883835,0.06271887306457397
suffix_1_to_2__snv_lr__seed_2025,suffix_1_to_2,1,2,snv_lr,2025,spatial_shuffle,520,130,0.6526290000037989,0.2796904000060749,3144,temperature_scaled,614,511,0.8322475570032574,0.8383101851851852,0.8580690530280194,0.8383101851851852,0.8236983029534173,0.6251689168609553,0.2604705286365399,0.04343748573057211
suffix_1_to_2__snv_lr__seed_2025,suffix_1_to_2,1,2,snv_lr,2025,mask_only,520,130,0.6526290000037989,0.2839953000002424,3144,raw,614,80,0.13029315960912052,0.125,0.016286644951140065,0.125,0.02881844380403458,24.03088807150789,1.739413680781759,0.8697068403908794
suffix_1_to_2__snv_lr__seed_2025,suffix_1_to_2,1,2,snv_lr,2025,mask_only,520,130,0.6526290000037989,0.2839953000002424,3144,temperature_scaled,614,80,0.13029315960912052,0.125,0.016286644951140065,0.125,0.02881844380403458,24.03088807150789,1.739413680781759,0.8697068403908794
suffix_1_to_2__snv_lr__seed_2025,suffix_1_to_2,1,2,snv_lr,2025,mean_broadcast,520,130,0.6526290000037989,0.2836119999992661,3144,raw,614,511,0.8322475570032574,0.8383101851851852,0.8580690530280194,0.8383101851851852,0.8236983029534173,0.6527531405942848,0.26397731946883835,0.06271887306457397
suffix_1_to_2__snv_lr__seed_2025,suffix_1_to_2,1,2,snv_lr,2025,mean_broadcast,520,130,0.6526290000037989,0.2836119999992661,3144,temperature_scaled,614,511,0.8322475570032574,0.8383101851851852,0.8580690530280194,0.8383101851851852,0.8236983029534173,0.6251689168609553,0.2604705286365399,0.04343748573057211
suffix_1_to_2__spectral_only__seed_2025,suffix_1_to_2,1,2,spectral_only,2025,full,520,130,29.625606700006756,8.311082100000931,79624,raw,614,322,0.5244299674267101,0.5309606481481481,0.4728128382506785,0.5309606481481481,0.4946227064536025,1.2855022318312488,0.6324696332847017,0.15857869719674814
suffix_1_to_2__spectral_only__seed_2025,suffix_1_to_2,1,2,spectral_only,2025,full,520,130,29.625606700006756,8.311082100000931,79624,temperature_scaled,614,322,0.5244299674267101,0.5309606481481481,0.4728128382506785,0.5309606481481481,0.4946227064536025,1.2044681571746563,0.5979638276929974,0.07722698348759562
suffix_1_to_2__spectral_only__seed_2025,suffix_1_to_2,1,2,spectral_only,2025,spatial_shuffle,520,130,29.625606700006756,8.165641200001119,79624,raw,614,322,0.5244299674267101,0.5309606481481481,0.4728128382506785,0.5309606481481481,0.4946227064536025,1.2855022318312488,0.6324696332847017,0.15857869719674814
suffix_1_to_2__spectral_only__seed_2025,suffix_1_to_2,1,2,spectral_only,2025,spatial_shuffle,520,130,29.625606700006756,8.165641200001119,79624,temperature_scaled,614,322,0.5244299674267101,0.5309606481481481,0.4728128382506785,0.5309606481481481,0.4946227064536025,1.2044681571746563,0.5979638276929974,0.07722698348759562
suffix_1_to_2__spectral_only__seed_2025,suffix_1_to_2,1,2,spectral_only,2025,mask_only,520,130,29.625606700006756,8.391094300000987,79624,raw,614,54,0.08794788273615635,0.125,0.010993485342019544,0.125,0.020209580838323353,7.369296684751481,1.7558954126552135,0.8786157871352522
suffix_1_to_2__spectral_only__seed_2025,suffix_1_to_2,1,2,spectral_only,2025,mask_only,520,130,29.625606700006756,8.391094300000987,79624,temperature_scaled,614,54,0.08794788273615635,0.125,0.010993485342019544,0.125,0.020209580838323353,12.891237696055846,1.8216521710931641,0.9108749689852791
suffix_1_to_2__spectral_only__seed_2025,suffix_1_to_2,1,2,spectral_only,2025,mean_broadcast,520,130,29.625606700006756,8.101799199997913,79624,raw,614,322,0.5244299674267101,0.5309606481481481,0.4728128382506785,0.5309606481481481,0.4946227064536025,1.2855022318312488,0.6324696332847017,0.15857869719674814
suffix_1_to_2__spectral_only__seed_2025,suffix_1_to_2,1,2,spectral_only,2025,mean_broadcast,520,130,29.625606700006756,8.101799199997913,79624,temperature_scaled,614,322,0.5244299674267101,0.5309606481481481,0.4728128382506785,0.5309606481481481,0.4946227064536025,1.2044681571746563,0.5979638276929974,0.07722698348759562
suffix_1_to_2__fusion_net__seed_2025,suffix_1_to_2,1,2,fusion_net,2025,full,520,130,90.57152959999803,10.542967399996996,209000,raw,614,272,0.44299674267100975,0.4558449074074074,0.45574840253774646,0.4558449074074074,0.4468203392437672,1.4586134589700086,0.6799680073970306,0.06816534931270372
suffix_1_to_2__fusion_net__seed_2025,suffix_1_to_2,1,2,fusion_net,2025,full,520,130,90.57152959999803,10.542967399996996,209000,temperature_scaled,614,272,0.44299674267100975,0.4558449074074074,0.45574840253774646,0.4558449074074074,0.4468203392437672,1.453861378938669,0.6800621597099368,0.04056228333424465
suffix_1_to_2__fusion_net__seed_2025,suffix_1_to_2,1,2,fusion_net,2025,spatial_shuffle,520,130,90.57152959999803,10.772395199994207,209000,raw,614,245,0.3990228013029316,0.41290509259259256,0.40725516785993326,0.41290509259259256,0.39515447182425334,1.4866490159400472,0.6934729709140598,0.023153207650340655
suffix_1_to_2__fusion_net__seed_2025,suffix_1_to_2,1,2,fusion_net,2025,spatial_shuffle,520,130,90.57152959999803,10.772395199994207,209000,temperature_scaled,614,245,0.3990228013029316,0.41290509259259256,0.40725516785993326,0.41290509259259256,0.39515447182425334,1.5046250599070616,0.7056962462282657,0.08317506481008514
suffix_1_to_2__fusion_net__seed_2025,suffix_1_to_2,1,2,fusion_net,2025,mask_only,520,130,90.57152959999803,10.698244999999588,209000,raw,614,113,0.18403908794788273,0.2126736111111111,0.1269798409433748,0.2126736111111111,0.12916061594168338,3.139101666808773,0.9785300667403295,0.2457249868168565
suffix_1_to_2__fusion_net__seed_2025,suffix_1_to_2,1,2,fusion_net,2025,mask_only,520,130,90.57152959999803,10.698244999999588,209000,temperature_scaled,614,113,0.18403908794788273,0.2126736111111111,0.1269798409433748,0.2126736111111111,0.12916061594168338,4.005831614883054,1.0528752345479437,0.3413949978531828
