protocol,model,actual_label,predicted_label,count
random_seed_holdout,msc_lr,5,6,0
random_seed_holdout,msc_lr,5,7,2
random_seed_holdout,msc_lr,6,0,0
random_seed_holdout,msc_lr,6,1,1
random_seed_holdout,msc_lr,6,2,0
random_seed_holdout,msc_lr,6,3,0
random_seed_holdout,msc_lr,6,4,0
random_seed_holdout,msc_lr,6,5,1
random_seed_holdout,msc_lr,6,6,38
random_seed_holdout,msc_lr,6,7,0
random_seed_holdout,msc_lr,7,0,0
random_seed_holdout,msc_lr,7,1,0
random_seed_holdout,msc_lr,7,2,0
random_seed_holdout,msc_lr,7,3,0
random_seed_holdout,msc_lr,7,4,0
random_seed_holdout,msc_lr,7,5,0
random_seed_holdout,msc_lr,7,6,0
random_seed_holdout,msc_lr,7,7,33
random_seed_holdout,sg_smooth_lr,0,0,39
random_seed_holdout,sg_smooth_lr,0,1,0
random_seed_holdout,sg_smooth_lr,0,2,0
random_seed_holdout,sg_smooth_lr,0,3,1
random_seed_holdout,sg_smooth_lr,0,4,0
random_seed_holdout,sg_smooth_lr,0,5,0
random_seed_holdout,sg_smooth_lr,0,6,0
random_seed_holdout,sg_smooth_lr,0,7,0
random_seed_holdout,sg_smooth_lr,1,0,0
random_seed_holdout,sg_smooth_lr,1,1,35
random_seed_holdout,sg_smooth_lr,1,2,1
random_seed_holdout,sg_smooth_lr,1,3,0
random_seed_holdout,sg_smooth_lr,1,4,0
random_seed_holdout,sg_smooth_lr,1,5,3
random_seed_holdout,sg_smooth_lr,1,6,1
random_seed_holdout,sg_smooth_lr,1,7,0
random_seed_holdout,sg_smooth_lr,2,0,0
random_seed_holdout,sg_smooth_lr,2,1,0
random_seed_holdout,sg_smooth_lr,2,2,32
random_seed_holdout,sg_smooth_lr,2,3,1
random_seed_holdout,sg_smooth_lr,2,4,5
random_seed_holdout,sg_smooth_lr,2,5,0
random_seed_holdout,sg_smooth_lr,2,6,2
random_seed_holdout,sg_smooth_lr,2,7,0
random_seed_holdout,sg_smooth_lr,3,0,3
random_seed_holdout,sg_smooth_lr,3,1,0
random_seed_holdout,sg_smooth_lr,3,2,0
random_seed_holdout,sg_smooth_lr,3,3,37
random_seed_holdout,sg_smooth_lr,3,4,0
random_seed_holdout,sg_smooth_lr,3,5,0
random_seed_holdout,sg_smooth_lr,3,6,0
random_seed_holdout,sg_smooth_lr,3,7,0
random_seed_holdout,sg_smooth_lr,4,0,0
random_seed_holdout,sg_smooth_lr,4,1,0
random_seed_holdout,sg_smooth_lr,4,2,3
