effect_id,effect_label,role,calibration,predictor,scope,left_balanced_accuracy,right_balanced_accuracy,effect
fusion_full_minus_snv_lr_full,fusion_net(full) - snv_lr(full),descriptive_baseline,raw,seed_2025,suffix_1_to_2,0.4558449074074074,0.8383101851851852,-0.3824652777777778
fusion_full_minus_snv_lr_full,fusion_net(full) - snv_lr(full),descriptive_baseline,raw,seed_2025,suffix_2_to_1,0.44687499999999997,0.8732638888888888,-0.4263888888888889
fusion_full_minus_snv_lr_full,fusion_net(full) - snv_lr(full),descriptive_baseline,raw,seed_2025,theta_two_direction_equal_weight,,,-0.4044270833333333
fusion_full_minus_snv_lr_full,fusion_net(full) - snv_lr(full),descriptive_baseline,raw,probability_ensemble,suffix_1_to_2,0.4197916666666667,0.8492476851851852,-0.42945601851851856
fusion_full_minus_snv_lr_full,fusion_net(full) - snv_lr(full),descriptive_baseline,raw,probability_ensemble,suffix_2_to_1,0.4684027777777778,0.8881944444444445,-0.41979166666666673
fusion_full_minus_snv_lr_full,fusion_net(full) - snv_lr(full),descriptive_baseline,raw,probability_ensemble,theta_two_direction_equal_weight,,,-0.42462384259259267
fusion_mask_only_minus_chance,fusion_net(mask_only) - chance (0.125),secondary,raw,seed_42,suffix_1_to_2,0.2800347222222222,0.125,0.1550347222222222
fusion_mask_only_minus_chance,fusion_net(mask_only) - chance (0.125),secondary,raw,seed_42,suffix_2_to_1,0.19357638888888887,0.125,0.06857638888888887
fusion_mask_only_minus_chance,fusion_net(mask_only) - chance (0.125),secondary,raw,seed_42,theta_two_direction_equal_weight,,,0.11180555555555553
fusion_mask_only_minus_chance,fusion_net(mask_only) - chance (0.125),secondary,raw,seed_2024,suffix_1_to_2,0.2987268518518519,0.125,0.17372685185185188
fusion_mask_only_minus_chance,fusion_net(mask_only) - chance (0.125),secondary,raw,seed_2024,suffix_2_to_1,0.1782986111111111,0.125,0.05329861111111109
fusion_mask_only_minus_chance,fusion_net(mask_only) - chance (0.125),secondary,raw,seed_2024,theta_two_direction_equal_weight,,,0.11351273148148149
fusion_mask_only_minus_chance,fusion_net(mask_only) - chance (0.125),secondary,raw,seed_2025,suffix_1_to_2,0.2126736111111111,0.125,0.0876736111111111
fusion_mask_only_minus_chance,fusion_net(mask_only) - chance (0.125),secondary,raw,seed_2025,suffix_2_to_1,0.14878472222222222,0.125,0.02378472222222222
fusion_mask_only_minus_chance,fusion_net(mask_only) - chance (0.125),secondary,raw,seed_2025,theta_two_direction_equal_weight,,,0.05572916666666666
fusion_mask_only_minus_chance,fusion_net(mask_only) - chance (0.125),secondary,raw,probability_ensemble,suffix_1_to_2,0.2306712962962963,0.125,0.10567129629629629
fusion_mask_only_minus_chance,fusion_net(mask_only) - chance (0.125),secondary,raw,probability_ensemble,suffix_2_to_1,0.2046875,0.125,0.0796875
fusion_mask_only_minus_chance,fusion_net(mask_only) - chance (0.125),secondary,raw,probability_ensemble,theta_two_direction_equal_weight,,,0.09267939814814814
primary_fusion_full_minus_spatial_shuffle,fusion_net(full) - fusion_net(spatial_shuffle),primary,temperature_scaled,seed_42,suffix_1_to_2,0.3018518518518518,0.290162037037037,0.011689814814814792
primary_fusion_full_minus_spatial_shuffle,fusion_net(full) - fusion_net(spatial_shuffle),primary,temperature_scaled,seed_42,suffix_2_to_1,0.4189236111111111,0.19392361111111112,0.22499999999999998
primary_fusion_full_minus_spatial_shuffle,fusion_net(full) - fusion_net(spatial_shuffle),primary,temperature_scaled,seed_42,theta_two_direction_equal_weight,,,0.11834490740740738
primary_fusion_full_minus_spatial_shuffle,fusion_net(full) - fusion_net(spatial_shuffle),primary,temperature_scaled,seed_2024,suffix_1_to_2,0.3128472222222222,0.29560185185185184,0.017245370370370383
primary_fusion_full_minus_spatial_shuffle,fusion_net(full) - fusion_net(spatial_shuffle),primary,temperature_scaled,seed_2024,suffix_2_to_1,0.41857638888888893,0.1708333333333333,0.24774305555555562
primary_fusion_full_minus_spatial_shuffle,fusion_net(full) - fusion_net(spatial_shuffle),primary,temperature_scaled,seed_2024,theta_two_direction_equal_weight,,,0.132494212962963
primary_fusion_full_minus_spatial_shuffle,fusion_net(full) - fusion_net(spatial_shuffle),primary,temperature_scaled,seed_2025,suffix_1_to_2,0.4558449074074074,0.41290509259259256,0.04293981481481485
primary_fusion_full_minus_spatial_shuffle,fusion_net(full) - fusion_net(spatial_shuffle),primary,temperature_scaled,seed_2025,suffix_2_to_1,0.44687499999999997,0.24427083333333333,0.20260416666666664
primary_fusion_full_minus_spatial_shuffle,fusion_net(full) - fusion_net(spatial_shuffle),primary,temperature_scaled,seed_2025,theta_two_direction_equal_weight,,,0.12277199074074074
primary_fusion_full_minus_spatial_shuffle,fusion_net(full) - fusion_net(spatial_shuffle),primary,temperature_scaled,probability_ensemble,suffix_1_to_2,0.4385416666666667,0.43072916666666666,0.007812500000000056
primary_fusion_full_minus_spatial_shuffle,fusion_net(full) - fusion_net(spatial_shuffle),primary,temperature_scaled,probability_ensemble,suffix_2_to_1,0.48020833333333335,0.225,0.25520833333333337
primary_fusion_full_minus_spatial_shuffle,fusion_net(full) - fusion_net(spatial_shuffle),primary,temperature_scaled,probability_ensemble,theta_two_direction_equal_weight,,,0.1315104166666667
fusion_spatial_shuffle_minus_mean_broadcast,fusion_net(spatial_shuffle) - fusion_net(mean_broadcast),secondary,temperature_scaled,seed_42,suffix_1_to_2,0.290162037037037,0.2815972222222222,0.008564814814814803
fusion_spatial_shuffle_minus_mean_broadcast,fusion_net(spatial_shuffle) - fusion_net(mean_broadcast),secondary,temperature_scaled,seed_42,suffix_2_to_1,0.19392361111111112,0.19739583333333333,-0.00347222222222221
fusion_spatial_shuffle_minus_mean_broadcast,fusion_net(spatial_shuffle) - fusion_net(mean_broadcast),secondary,temperature_scaled,seed_42,theta_two_direction_equal_weight,,,0.0025462962962962965
fusion_spatial_shuffle_minus_mean_broadcast,fusion_net(spatial_shuffle) - fusion_net(mean_broadcast),secondary,temperature_scaled,seed_2024,suffix_1_to_2,0.29560185185185184,0.2987268518518519,-0.0031250000000000444
fusion_spatial_shuffle_minus_mean_broadcast,fusion_net(spatial_shuffle) - fusion_net(mean_broadcast),secondary,temperature_scaled,seed_2024,suffix_2_to_1,0.1708333333333333,0.17864583333333334,-0.007812500000000028
fusion_spatial_shuffle_minus_mean_broadcast,fusion_net(spatial_shuffle) - fusion_net(mean_broadcast),secondary,temperature_scaled,seed_2024,theta_two_direction_equal_weight,,,-0.005468750000000036
fusion_spatial_shuffle_minus_mean_broadcast,fusion_net(spatial_shuffle) - fusion_net(mean_broadcast),secondary,temperature_scaled,seed_2025,suffix_1_to_2,0.41290509259259256,0.42378472222222224,-0.010879629629629683
fusion_spatial_shuffle_minus_mean_broadcast,fusion_net(spatial_shuffle) - fusion_net(mean_broadcast),secondary,temperature_scaled,seed_2025,suffix_2_to_1,0.24427083333333333,0.24357638888888888,0.000694444444444442
fusion_spatial_shuffle_minus_mean_broadcast,fusion_net(spatial_shuffle) - fusion_net(mean_broadcast),secondary,temperature_scaled,seed_2025,theta_two_direction_equal_weight,,,-0.005092592592592621
fusion_spatial_shuffle_minus_mean_broadcast,fusion_net(spatial_shuffle) - fusion_net(mean_broadcast),secondary,temperature_scaled,probability_ensemble,suffix_1_to_2,0.43072916666666666,0.42604166666666665,0.004687500000000011
fusion_spatial_shuffle_minus_mean_broadcast,fusion_net(spatial_shuffle) - fusion_net(mean_broadcast),secondary,temperature_scaled,probability_ensemble,suffix_2_to_1,0.225,0.22413194444444443,0.0008680555555555802
fusion_spatial_shuffle_minus_mean_broadcast,fusion_net(spatial_shuffle) - fusion_net(mean_broadcast),secondary,temperature_scaled,probability_ensemble,theta_two_direction_equal_weight,,,0.0027777777777777957
fusion_full_minus_mean_broadcast,fusion_net(full) - fusion_net(mean_broadcast),secondary,temperature_scaled,seed_42,suffix_1_to_2,0.3018518518518518,0.2815972222222222,0.020254629629629595
fusion_full_minus_mean_broadcast,fusion_net(full) - fusion_net(mean_broadcast),secondary,temperature_scaled,seed_42,suffix_2_to_1,0.4189236111111111,0.19739583333333333,0.22152777777777777
fusion_full_minus_mean_broadcast,fusion_net(full) - fusion_net(mean_broadcast),secondary,temperature_scaled,seed_42,theta_two_direction_equal_weight,,,0.12089120370370368
fusion_full_minus_mean_broadcast,fusion_net(full) - fusion_net(mean_broadcast),secondary,temperature_scaled,seed_2024,suffix_1_to_2,0.3128472222222222,0.2987268518518519,0.014120370370370339
fusion_full_minus_mean_broadcast,fusion_net(full) - fusion_net(mean_broadcast),secondary,temperature_scaled,seed_2024,suffix_2_to_1,0.41857638888888893,0.17864583333333334,0.2399305555555556
fusion_full_minus_mean_broadcast,fusion_net(full) - fusion_net(mean_broadcast),secondary,temperature_scaled,seed_2024,theta_two_direction_equal_weight,,,0.12702546296296297
fusion_full_minus_mean_broadcast,fusion_net(full) - fusion_net(mean_broadcast),secondary,temperature_scaled,seed_2025,suffix_1_to_2,0.4558449074074074,0.42378472222222224,0.032060185185185164
fusion_full_minus_mean_broadcast,fusion_net(full) - fusion_net(mean_broadcast),secondary,temperature_scaled,seed_2025,suffix_2_to_1,0.44687499999999997,0.24357638888888888,0.20329861111111108
fusion_full_minus_mean_broadcast,fusion_net(full) - fusion_net(mean_broadcast),secondary,temperature_scaled,seed_2025,theta_two_direction_equal_weight,,,0.11767939814814812
fusion_full_minus_mean_broadcast,fusion_net(full) - fusion_net(mean_broadcast),secondary,temperature_scaled,probability_ensemble,suffix_1_to_2,0.4385416666666667,0.42604166666666665,0.012500000000000067
fusion_full_minus_mean_broadcast,fusion_net(full) - fusion_net(mean_broadcast),secondary,temperature_scaled,probability_ensemble,suffix_2_to_1,0.48020833333333335,0.22413194444444443,0.25607638888888895
fusion_full_minus_mean_broadcast,fusion_net(full) - fusion_net(mean_broadcast),secondary,temperature_scaled,probability_ensemble,theta_two_direction_equal_weight,,,0.1342881944444445
fusion_mean_broadcast_minus_mask_only,fusion_net(mean_broadcast) - fusion_net(mask_only),secondary,temperature_scaled,seed_42,suffix_1_to_2,0.2815972222222222,0.2800347222222222,0.0015625000000000222
fusion_mean_broadcast_minus_mask_only,fusion_net(mean_broadcast) - fusion_net(mask_only),secondary,temperature_scaled,seed_42,suffix_2_to_1,0.19739583333333333,0.19357638888888887,0.0038194444444444586
fusion_mean_broadcast_minus_mask_only,fusion_net(mean_broadcast) - fusion_net(mask_only),secondary,temperature_scaled,seed_42,theta_two_direction_equal_weight,,,0.0026909722222222404
fusion_mean_broadcast_minus_mask_only,fusion_net(mean_broadcast) - fusion_net(mask_only),secondary,temperature_scaled,seed_2024,suffix_1_to_2,0.2987268518518519,0.2987268518518519,0.0
fusion_mean_broadcast_minus_mask_only,fusion_net(mean_broadcast) - fusion_net(mask_only),secondary,temperature_scaled,seed_2024,suffix_2_to_1,0.17864583333333334,0.1782986111111111,0.00034722222222224874
fusion_mean_broadcast_minus_mask_only,fusion_net(mean_broadcast) - fusion_net(mask_only),secondary,temperature_scaled,seed_2024,theta_two_direction_equal_weight,,,0.00017361111111112437
fusion_mean_broadcast_minus_mask_only,fusion_net(mean_broadcast) - fusion_net(mask_only),secondary,temperature_scaled,seed_2025,suffix_1_to_2,0.42378472222222224,0.2126736111111111,0.21111111111111114
