direction,model,condition,calibration,seed_42_balanced_accuracy,seed_2024_balanced_accuracy,seed_2025_balanced_accuracy,seed_mean_balanced_accuracy,seed_sd_balanced_accuracy,ensemble_accuracy,ensemble_balanced_accuracy,ensemble_macro_f1,ensemble_nll,ensemble_brier,ensemble_ece_10
suffix_1_to_2,snv_lr,mean_broadcast,temperature_scaled,0.8476851851851852,0.8351851851851853,0.8383101851851852,0.8403935185185185,0.006505206248331651,0.8420195439739414,0.8476851851851852,0.8370047553860697,0.5876658152054627,0.2450209928536974,0.043607771797253586
suffix_1_to_2,snv_lr,mask_only,temperature_scaled,0.125,0.125,0.125,0.125,0.0,0.13029315960912052,0.125,0.02881844380403458,21.750248221306894,1.3231994209192905,0.5363735070575462
suffix_1_to_2,spectral_only,full,temperature_scaled,0.125,0.17048611111111112,0.5309606481481481,0.27548225308641977,0.22241662332993573,0.5228013029315961,0.5293981481481482,0.4942244313717712,1.6215990622045027,0.7287768964642577,0.28349766281957234
suffix_1_to_2,spectral_only,spatial_shuffle,temperature_scaled,0.125,0.17048611111111112,0.5309606481481481,0.27548225308641977,0.22241662332993573,0.5228013029315961,0.5293981481481482,0.4942244313717712,1.6215990622045027,0.7287768964642577,0.28349766281957234
suffix_1_to_2,spectral_only,mean_broadcast,temperature_scaled,0.125,0.17048611111111112,0.5309606481481481,0.27548225308641977,0.22241662332993573,0.5228013029315961,0.5293981481481482,0.4942244313717712,1.6215990622045027,0.7287768964642577,0.28349766281957234
suffix_1_to_2,spectral_only,mask_only,temperature_scaled,0.125,0.125,0.125,0.125,0.0,0.08794788273615635,0.125,0.020209580838323353,2.3393756023892074,0.9944985192384292,0.325404403979004
suffix_1_to_2,fusion_net,full,temperature_scaled,0.3018518518518518,0.3128472222222222,0.4558449074074074,0.3568479938271605,0.08590993083576871,0.4218241042345277,0.4385416666666667,0.413115400922732,1.6576301502118256,0.7369314358301213,0.10873167903219476
suffix_1_to_2,fusion_net,spatial_shuffle,temperature_scaled,0.290162037037037,0.29560185185185184,0.41290509259259256,0.3328896604938271,0.06934875576943665,0.41368078175895767,0.43072916666666666,0.3978317283394385,1.6859173801440481,0.7487417023623036,0.09479939151312
suffix_1_to_2,fusion_net,mean_broadcast,temperature_scaled,0.2815972222222222,0.2987268518518519,0.42378472222222224,0.3347029320987654,0.07762106705986317,0.40879478827361565,0.42604166666666665,0.39313607601044803,1.6835972597981665,0.7479582818762635,0.08883685563273204
suffix_1_to_2,fusion_net,mask_only,temperature_scaled,0.2800347222222222,0.2987268518518519,0.2126736111111111,0.2638117283950618,0.04526233762227749,0.18729641693811075,0.2150462962962963,0.13075021061510328,1.9962129970400944,0.8620196001932144,0.14822362671288042
suffix_2_to_1,snv_lr,full,temperature_scaled,0.8909722222222223,0.8836805555555556,0.8732638888888888,0.8826388888888889,0.008900003901372482,0.8923076923076924,0.8911458333333333,0.8892445344510902,0.3381064992812147,0.1670545820686428,0.026045053195702182
suffix_2_to_1,snv_lr,spatial_shuffle,temperature_scaled,0.8909722222222223,0.8836805555555556,0.8732638888888888,0.8826388888888889,0.008900003901372482,0.8923076923076924,0.8911458333333333,0.8892445344510902,0.3381064992812147,0.1670545820686428,0.026045053195702182
suffix_2_to_1,snv_lr,mean_broadcast,temperature_scaled,0.8909722222222223,0.8836805555555556,0.8732638888888888,0.8826388888888889,0.008900003901372482,0.8923076923076924,0.8911458333333333,0.8892445344510902,0.3381064992812147,0.1670545820686428,0.026045053195702182
suffix_2_to_1,snv_lr,mask_only,temperature_scaled,0.125,0.125,0.125,0.125,0.0,0.13846153846153847,0.125,0.030405405405405407,23.805187422953825,1.7230769230769232,0.8615384615384616
suffix_2_to_1,spectral_only,full,temperature_scaled,0.1234375,0.125,0.3579861111111111,0.2021412037037037,0.13496790998300315,0.36615384615384616,0.36562500000000003,0.29899153508740106,1.807750439199603,0.7946776082206746,0.15539497415092005
